p_Pa,pressure_ratio_local,T_is_K,rho_is_kg_m3,h_is_J_kg,a_is_m_s,c_is_m_s,Ma_is,T_act_K,rho_act_kg_m3,h_act_J_kg,s_act_J_kgK,a_act_m_s,c_act_m_s,Ma_act
2449248.120300752,5.1563118322121095,421.9369226913103,148.12888020395224,492446.48106650036,111.9728675623136,26.00018182623453,0.23220073212615788,421.93692269136227,148.1288802038525,492446.48106650036,1792.1748252656407,111.97286756237627,26.00018182623453,0.2322007321260279
2444172.932330827,5.145627225959636,421.8149964813116,147.72432701802379,492412.1722109314,112.0376044201046,27.28785748524644,0.2435598085703961,421.8149964813596,147.72432701793218,492412.1722109314,1792.1748252655,112.03760442016234,27.28785748524644,0.2435598085702706
2439097.7443609023,5.134942619707163,421.6929570868089,147.32024167901523,492377.7693238367,112.10250876040617,28.520745788364923,0.25441665939271335,421.6929570868533,147.3202416789312,492377.7693238367,1792.1748252653679,112.10250876045923,28.520745788364923,0.25441665939259295
2434022.5563909775,5.124258013454689,421.57080431096176,146.91662457894998,492343.27199811913,112.16757987351748,29.70568281928075,0.26483305472737756,421.5708043110029,146.91662457887253,492343.27199811913,1792.1748252652453,112.16757987356654,29.70568281928075,0.26483305472726176
2428947.3684210526,5.113573407202216,421.44853795271865,146.51347610034549,492308.6798243142,112.23281704662637,30.848208041466272,0.27485907289176026,421.44853795275674,146.51347610027452,492308.6798243142,1792.17482526513,112.23281704667134,30.848208041466272,0.2748590728916501
2423872.1804511277,5.102888800949742,421.32615780678617,146.11079661623532,492273.9923905715,112.29821956385537,31.95288417115042,0.28453598191716006,421.32615780682147,146.11079661616998,492273.9923905715,1792.1748252650216,112.29821956389702,31.95288417115042,0.2845359819170545
2418796.992481203,5.092204194697269,421.2036636635977,145.70858649018868,492239.2092826353,112.3637867063115,33.023522264097906,0.2938982676902163,421.2036636636303,145.7085864901287,492239.2092826353,1792.1748252649218,112.36378670634977,33.023522264097906,0.29389826769011623
2413721.8045112784,5.081519588444797,421.0810553092804,145.30684607633575,492204.3300838234,112.42951775213155,34.06334423322453,0.3029750986597888,421.08105530931056,145.30684607628052,492204.3300838234,1792.1748252648276,112.429517752167,34.06334423322453,0.3029750986596932
2408646.6165413535,5.0708349821923235,420.9583325256251,144.90557571938731,492169.3543750089,112.49541197653281,35.07510282208985,0.3117914073634107,420.958332525653,144.90557571933638,492169.3543750089,1792.1748252647396,112.49541197656559,35.07510282208985,0.31179140736331984
2403571.4285714286,5.06015037593985,420.8354950900528,144.50477575466226,492134.28173459653,112.56146865185842,36.06117190004946,0.3203687046015997,420.8354950900785,144.5047757546155,492134.28173459653,1792.1748252646569,112.56146865188873,36.06117190004946,0.32036870460151345
2398496.2406015038,5.049465769687377,420.7125427755848,144.10444650810652,492099.1117385075,112.62768704763035,37.023615584960616,0.32872570284874353,420.71254277560877,144.10444650806338,492099.1117385075,1792.1748252645802,112.62768704765833,37.023615584960616,0.32872570284866187
2393421.052631579,5.038781163434903,420.5894753508087,143.7045882963235,492063.84396015183,112.69406643059358,37.96424196127603,0.3368788008431445,420.58947535083075,143.70458829628356,492063.84396015183,1792.1748252645084,112.69406643061969,37.96424196127603,0.3368788008430665
2388345.864661654,5.02809655718243,420.4662925798476,143.30520142659407,492028.47797041363,112.76060606477019,38.88464539083153,0.34484246535971985,420.4662925798681,143.30520142655737,492028.47797041363,1792.174825264441,112.76060606479419,38.88464539083153,0.34484246535964647
